customer,order,names,region,item,units,price
2652571,6641007,John,east,pens,668,308
9684768,2447162,Nick,central,paper,837,978
9487048,8095753,Richard,east,binder,332,691
4114351,3799329,Aaron,central,binder,258,130
5265067,3979839,Ben,central,binder,556,682
3109961,1146685,Nick,east,pens,605,500
1198856,4289602,Aaron,west,pens,157,673
6888907,8668943,Richard,east,paper,895,363
5071797,6971806,Aaron,west,paper,262,911
8470313,4182540,Ben,central,pens,347,225
1490235,4576838,John,central,binder,595,450
1842677,1654307,John,east,binder,228,917
4543494,4620288,Aaron,east,pens,916,822
6771846,7169836,Richard,central,pens,629,479
6932028,9039383,Nick,west,binder,395,777
5398299,6113258,Nick,central,paper,627,320
9234649,8663748,John,west,pens,936,401
3851988,5492197,Ben,central,binder,434,883
6650206,6951483,John,east,binder,819,836
7844124,1106253,John,central,paper,508,640
9521938,6283735,Nick,west,paper,920,598
1755882,6969490,Aaron,central,pens,538,558
3710783,2721442,Ben,west,binder,152,543
6705661,8902755,Ben,west,pens,558,573
5863798,4946155,John,east,paper,228,279
8495984,4715599,John,east,binder,483,177
8428420,1234091,Richard,east,pens,246,959
5820190,8168552,Richard,central,pens,259,693
4137561,6157041,Richard,east,paper,853,783
1565623,2915580,John,west,binder,236,839
5933785,3165164,John,east,binder,208,229
5811421,2201852,Aaron,west,paper,983,491
5757896,1616024,Richard,west,binder,905,727
8325463,8646002,John,east,pens,596,886
3432763,8319996,Richard,central,paper,352,688
4616984,7438842,Richard,west,pens,219,520
2833093,6970518,Aaron,east,pens,593,604
4362395,9358927,Richard,central,binder,419,128
9642075,9358944,Ben,west,pens,826,603
9858185,4509616,Richard,west,paper,354,251
1976143,1342801,John,central,pens,645,167
2149611,9825230,Ben,central,binder,832,535
1841286,2989131,Ben,west,paper,831,317
2371862,6373216,Ben,west,pens,637,192
2984541,7093670,Nick,east,paper,990,833
9409095,7615387,Nick,west,pens,974,882
5023741,3947900,Aaron,west,binder,526,888
1489117,5082042,Richard,east,binder,696,288
3194082,2802483,John,west,pens,388,816
2494013,1825566,Richard,central,pens,286,916
